GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Somewhat difficult,League of Legends,30,1,2,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,9,40,9
Not difficult at all,League of Legends,16,1,1,Male,21,Employed,Bachelor (or equivalent),NZL,26,9,1
Somewhat difficult,League of Legends,7,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,22,18,4
Somewhat difficult,League of Legends,17,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,24,12,6
Not difficult at all,League of Legends,8,1,2,Male,19,Student at school,None,CAN,15,34,4
Somewhat difficult,League of Legends,10,1,1,Male,20,Student at college / university,High school diploma (or equivalent),CAN,29,43,7
Not difficult at all,League of Legends,40,1,2,Male,21,Student at college / university,High school diploma (or equivalent),GRC,24,25,3
Somewhat difficult,League of Legends,25,1,3,Male,18,Student at school,None,USA,19,12,4
Somewhat difficult,League of Legends,10,1,2,Male,22,Student at college / university,Master (or equivalent),FRA,27,32,7
Not difficult at all,League of Legends,14,1,1,Male,26,Employed,Bachelor (or equivalent),GBR,26,18,1
Extremely difficult,League of Legends,20,1,1,Male,21,Unemployed / between jobs,High school diploma (or equivalent),CHE,5,NA,11
Not difficult at all,League of Legends,27,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,23,21,6
Not difficult at all,League of Legends,5,1,2,Male,18,Student at college / university,High school diploma (or equivalent),CAN,20,18,1
Not difficult at all,League of Legends,20,1,3,Male,24,Employed,High school diploma (or equivalent),USA,10,11,1
Somewhat difficult,League of Legends,15,0,2,Male,18,Student at college / university,High school diploma (or equivalent),IND,28,10,10
Very difficult,League of Legends,20,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,10,4,19
Somewhat difficult,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,10,28,3
Extremely difficult,League of Legends,50,1,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),ITA,6,NA,9
Extremely difficult,League of Legends,42,1,1,Female,20,Student at college / university,High school diploma (or equivalent),GBR,9,59,8
Very difficult,League of Legends,35,1,4,Male,21,Student at college / university,High school diploma (or equivalent),ZAF,15,20,12
Not difficult at all,League of Legends,10,0,1,Male,24,Employed,High school diploma (or equivalent),USA,28,4,1
Not difficult at all,League of Legends,10,1,1,Male,30,Employed,Bachelor (or equivalent),USA,14,2,10
Not difficult at all,League of Legends,15,1,4,Male,21,Student at college / university,High school diploma (or equivalent),ARG,25,9,0
Not difficult at all,League of Legends,6,1,1,Male,22,Student at college / university,Bachelor (or equivalent),ESP,26,12,2
Not difficult at all,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,21,8,5
Not difficult at all,League of Legends,45,0,2,Male,18,Student at school,High school diploma (or equivalent),USA,13,29,3
Not difficult at all,League of Legends,30,0,4,Male,18,Student at college / university,High school diploma (or equivalent),CAN,21,6,1
Somewhat difficult,League of Legends,10,1,2,Male,26,Student at college / university,High school diploma (or equivalent),USA,10,13,3
NA,League of Legends,40,1,2,Male,18,Student at college / university,High school diploma (or equivalent),AUS,30,16,0
Not difficult at all,League of Legends,50,1,2,Male,18,Employed,High school diploma (or equivalent),CAN,29,22,5
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,13,17,6
Not difficult at all,League of Legends,30,1,1,Male,21,Student at college / university,Bachelor (or equivalent),POL,20,2,2
Somewhat difficult,League of Legends,20,1,2,Male,22,Unemployed / between jobs,High school diploma (or equivalent),CAN,17,37,10
Not difficult at all,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,19,36,8
Somewhat difficult,League of Legends,35,1,3,Male,24,Student at college / university,High school diploma (or equivalent),AUS,11,50,12
Not difficult at all,League of Legends,20,1,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),AUS,22,9,0
Somewhat difficult,League of Legends,20,1,2,Male,23,Student at college / university,High school diploma (or equivalent),CAN,17,15,8
Not difficult at all,League of Legends,22,1,2,Male,19,Student at college / university,High school diploma (or equivalent),FIN,22,15,3
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,USA,28,12,0
Somewhat difficult,League of Legends,20,1,3,Male,23,Student at college / university,Bachelor (or equivalent),USA,18,22,5
Somewhat difficult,League of Legends,25,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,10,28,7
Somewhat difficult,League of Legends,25,1,2,Male,19,Student at school,High school diploma (or equivalent),SGP,26,25,5
Somewhat difficult,League of Legends,36,1,1,Male,18,Student at school,None,USA,10,39,11
Somewhat difficult,League of Legends,14,1,2,Male,20,Student at college / university,High school diploma (or equivalent),MYS,24,34,8
Not difficult at all,League of Legends,35,1,1,Male,19,Student at college / university,High school diploma (or equivalent),SRB,6,30,3
Not difficult at all,League of Legends,13,0,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,27,6,1
Not difficult at all,League of Legends,10,1,2,Male,18,Student at school,None,USA,26,4,3
Not difficult at all,League of Legends,14,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,24,11,0
Not difficult at all,League of Legends,30,1,3,Male,18,Student at school,None,USA,21,23,2
Not difficult at all,League of Legends,20,1,2,Male,26,Employed,High school diploma (or equivalent),CAN,24,0,0
Not difficult at all,League of Legends,16,1,1,Male,25,Employed,Bachelor (or equivalent),USA,19,3,1
Not difficult at all,League of Legends,9,1,1,Male,31,Employed,Bachelor (or equivalent),GBR,24,7,2
Somewhat difficult,League of Legends,32,0,1,Male,18,Student at school,High school diploma (or equivalent),USA,13,13,12
Not difficult at all,League of Legends,10,1,3,Male,20,Employed,High school diploma (or equivalent),PRT,18,14,6
Somewhat difficult,League of Legends,4,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,24,16,1
Not difficult at all,League of Legends,7,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,9,22,3
Not difficult at all,League of Legends,30,1,4,Male,20,Employed,High school diploma (or equivalent),USA,28,2,2
Very difficult,League of Legends,25,1,1,Male,18,Student at school,High school diploma (or equivalent),CAN,10,46,15
Not difficult at all,League of Legends,24,1,3,Male,19,Student at college / university,High school diploma (or equivalent),CAN,32,NA,2
Not difficult at all,League of Legends,15,1,3,Male,21,Unemployed / between jobs,None,AUS,5,33,6
Somewhat difficult,League of Legends,50,1,4,Male,20,Unemployed / between jobs,Bachelor (or equivalent),COL,22,9,11
Somewhat difficult,League of Legends,84,1,2,Male,18,Student at college / university,High school diploma (or equivalent),ARG,22,13,6
Somewhat difficult,League of Legends,30,1,1,Male,28,Employed,Bachelor (or equivalent),AUS,22,13,3
Not difficult at all,League of Legends,25,1,2,Male,19,Student at school,High school diploma (or equivalent),CAN,26,38,11
Not difficult at all,League of Legends,18,1,1,Male,20,Student at college / university,High school diploma (or equivalent),AUS,28,2,3
Not difficult at all,League of Legends,20,1,1,Male,32,Employed,Bachelor (or equivalent),USA,13,13,3
Not difficult at all,League of Legends,5,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,13,1,1
Not difficult at all,League of Legends,30,1,1,Male,18,Student at school,None,USA,24,7,2
Somewhat difficult,League of Legends,12,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,24,13,11
Not difficult at all,League of Legends,10,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,20,34,0
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,23,30,0
Not difficult at all,League of Legends,16,1,1,Male,23,Student at college / university,Master (or equivalent),NZL,19,21,0
Not difficult at all,League of Legends,30,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,27,25,2
Not difficult at all,League of Legends,12,1,4,Male,20,Student at college / university,High school diploma (or equivalent),USA,22,36,9
Not difficult at all,League of Legends,36,1,3,Male,20,Student at college / university,High school diploma (or equivalent),DEU,17,9,7
Somewhat difficult,League of Legends,20,1,2,Male,24,Student at college / university,High school diploma (or equivalent),AUS,15,29,3
Not difficult at all,League of Legends,16,1,3,Male,18,Student at school,High school diploma (or equivalent),CAN,35,27,4
Somewhat difficult,League of Legends,20,1,1,Male,20,Student at college / university,High school diploma (or equivalent),CAN,19,21,3
Somewhat difficult,League of Legends,20,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,17,24,4
Not difficult at all,League of Legends,15,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,20,12,8
Not difficult at all,League of Legends,30,1,4,Male,24,Employed,High school diploma (or equivalent),USA,14,9,3
Not difficult at all,League of Legends,20,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,30,32,1
Very difficult,League of Legends,40,1,2,Male,24,Student at college / university,Bachelor (or equivalent),USA,22,7,10
Not difficult at all,League of Legends,NA,1,2,Male,18,Student at school,High school diploma (or equivalent),DEU,9,10,1
Extremely difficult,League of Legends,20,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DEU,12,34,19
NA,League of Legends,20,1,1,Male,23,Employed,High school diploma (or equivalent),SWE,28,17,0
Extremely difficult,League of Legends,14,1,2,Female,18,Student at school,None,QAT,10,29,20
Extremely difficult,League of Legends,18,0,5,Male,19,Unemployed / between jobs,High school diploma (or equivalent),DEU,10,20,11
Not difficult at all,League of Legends,10,1,2,Male,24,Employed,High school diploma (or equivalent),AUS,21,4,2
Not difficult at all,League of Legends,30,1,1,Male,20,Student at college / university,High school diploma (or equivalent),NA,28,2,2
Not difficult at all,League of Legends,9,1,4,Male,24,Employed,High school diploma (or equivalent),USA,15,10,1
Somewhat difficult,League of Legends,10,1,2,Female,19,Student at college / university,High school diploma (or equivalent),USA,28,29,3
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,27,12,5
Somewhat difficult,League of Legends,4,0,2,Male,18,Student at college / university,None,SGP,20,17,4
Not difficult at all,League of Legends,40,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,14,8,2
Very difficult,League of Legends,15,1,2,Female,18,Student at college / university,High school diploma (or equivalent),USA,19,60,16
Somewhat difficult,League of Legends,9,1,2,Male,18,Student at college / university,Bachelor (or equivalent),HND,10,52,13
Somewhat difficult,League of Legends,21,1,1,Female,18,Student at college / university,High school diploma (or equivalent),SGP,12,41,13
Not difficult at all,League of Legends,23,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,19,11,11
Extremely difficult,League of Legends,45,1,5,Male,23,Employed,High school diploma (or equivalent),USA,5,13,15
Not difficult at all,League of Legends,16,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BRA,11,45,2
Not difficult at all,League of Legends,14,0,3,Male,19,Student at college / university,High school diploma (or equivalent),CAN,26,9,2
Not difficult at all,League of Legends,8,1,4,Male,18,Student at college / university,High school diploma (or equivalent),CAN,21,16,5
Not difficult at all,League of Legends,30,1,4,Male,20,Employed,High school diploma (or equivalent),USA,16,8,1
Somewhat difficult,League of Legends,12,1,1,Female,20,Student at college / university,High school diploma (or equivalent),USA,20,48,17
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at school,High school diploma (or equivalent),CAN,21,25,4
Somewhat difficult,League of Legends,15,1,3,Male,18,Student at school,None,USA,13,NA,14
Very difficult,League of Legends,35,1,5,Female,18,Student at college / university,High school diploma (or equivalent),GBR,10,49,19
Somewhat difficult,League of Legends,15,1,1,Male,22,Employed,High school diploma (or equivalent),USA,18,27,6
Very difficult,League of Legends,NA,1,3,Male,22,Student at college / university,High school diploma (or equivalent),AUS,6,6,10
